Job Filing Number,Filing Status,Filing Date,House No,Street Name,Borough,Block,LOT,Bin,Job Description,Filing Review Type,guid,filing_status,doc_description,doc_name,doc_url_original,download_url,result_status,error_body,zoning_status,doc_create_on,doc_category,doc_type_name,doc_status_label
X01130339-P5,Approved,08/18/2025 12:00:00 AM,2055,MAPES AVENUE,Bronx,3109,1,2012957,Media Center-Art/Visual/Music/Recording/Hearing/Technology/Sound Bearing Partition/Gypsum Suspended Ceiling/New Entry Door/2X4 Lay-In Ceiling Tile/ New Furniture/New Carpet w Sound Proofing/ All new technology/Partial Roof work exhaust/intake penetration.,Standard Plan Examination,00c703ac-097a-f011-a486-005056b04135,6,Fee Exempt Supporting Document - DOF Property Tax Assessment Roll,Fee Exempt Supporting Document - DOF Property Tax Assessment Roll,http://bscan-broker.csc.nycnet:18080/dctm-rest/repositories/bscan_prod_rep/documents/0900303986cdd4bd,,FILTERED,,NO ZONING DOCUMENTS,2025-08-15,Supporting Documents,Fee Exempt Supporting Document - DOF ACRIS report or BIB letter,Accepted
X01052403-I1,Permit Entire,08/16/2024 12:00:00 AM,858,EAST 223 STREET,Bronx,4847,65,2063767,NEW 3 FAMILY DWELLING,Standard Plan Examination,fbaad6f5-9513-ef11-a958-005056b0044a,22,DEP: Sewer Certification (Sanitary/Storm),DEP: Sewer Certification (Sanitary/Storm),http://bscan-broker.csc.nycnet:18080/dctm-rest/repositories/bscan_prod_rep/documents/0900303986fe072c,,FILTERED,,HAS ZONING DOCUMENTS,2024-05-16,Supporting Documents,DEP: Sewer Certification (Sanitary/Storm),Accepted
X01052403-I1,Permit Entire,08/16/2024 12:00:00 AM,858,EAST 223 STREET,Bronx,4847,65,2063767,NEW 3 FAMILY DWELLING,Standard Plan Examination,fbaad6f5-9513-ef11-a958-005056b0044a,22,House Number Verification: TOPO Stamp,House Number Verification: TOPO Stamp,http://bscan-broker.csc.nycnet:18080/dctm-rest/repositories/bscan_prod_rep/documents/0900303986a32b64,,FILTERED,,HAS ZONING DOCUMENTS,2024-05-16,Supporting Documents,House Number Verification: TOPO Stamp,Accepted
X01052403-I1,Permit Entire,08/16/2024 12:00:00 AM,858,EAST 223 STREET,Bronx,4847,65,2063767,NEW 3 FAMILY DWELLING,Standard Plan Examination,fbaad6f5-9513-ef11-a958-005056b0044a,22,Site Survey: Initial,Site Survey: Initial,http://bscan-broker.csc.nycnet:18080/dctm-rest/repositories/bscan_prod_rep/documents/0900303986a32b9e,,FILTERED,,HAS ZONING DOCUMENTS,2024-05-16,Supporting Documents,Site Survey: Initial,Accepted
X01052403-I1,Permit Entire,08/16/2024 12:00:00 AM,858,EAST 223 STREET,Bronx,4847,65,2063767,NEW 3 FAMILY DWELLING,Standard Plan Examination,fbaad6f5-9513-ef11-a958-005056b0044a,22,Street Tree Checklist,Street Tree Checklist,http://bscan-broker.csc.nycnet:18080/dctm-rest/repositories/bscan_prod_rep/documents/0900303986a32b9f,,FILTERED,,HAS ZONING DOCUMENTS,2024-05-16,Supporting Documents,Street Tree Checklist,Accepted
X01052403-I1,Permit Entire,08/16/2024 12:00:00 AM,858,EAST 223 STREET,Bronx,4847,65,2063767,NEW 3 FAMILY DWELLING,Standard Plan Examination,fbaad6f5-9513-ef11-a958-005056b0044a,22,ZD1: DOB Zoning Diagram,ZD1: DOB Zoning Diagram,http://bscan-broker.csc.nycnet:18080/dctm-rest/repositories/bscan_prod_rep/documents/0900303986fe072f,https://a810-DOBNOW.nyc.gov/Publish/DocumentStage//PortalDownloadedDocuments/BRONX/TEST//202607280524566671583084093/ZD1 DOB Zoning Diagram_a764dd084b.pdf,OK,,HAS ZONING DOCUMENTS,2024-05-16,Supporting Documents,ZD1: DOB Zoning Diagram,Accepted
X01052403-I1,Permit Entire,08/16/2024 12:00:00 AM,858,EAST 223 STREET,Bronx,4847,65,2063767,NEW 3 FAMILY DWELLING,Standard Plan Examination,fbaad6f5-9513-ef11-a958-005056b0044a,22,Zoning Exhibit form (1-5),Zoning Exhibit form (1-5),http://bscan-broker.csc.nycnet:18080/dctm-rest/repositories/bscan_prod_rep/documents/0900303986a32ba2,,FILTERED,,HAS ZONING DOCUMENTS,2024-08-15,Supporting Documents,Zoning Exhibit form (1-5),Accepted
X01052403-I1,Permit Entire,08/16/2024 12:00:00 AM,858,EAST 223 STREET,Bronx,4847,65,2063767,NEW 3 FAMILY DWELLING,Standard Plan Examination,fbaad6f5-9513-ef11-a958-005056b0044a,22,Local Law 92/94 of 2019 Sustainable Roof Zone,Local Law 92/94 of 2019 Sustainable Roof Zone,http://bscan-broker.csc.nycnet:18080/dctm-rest/repositories/bscan_prod_rep/documents/0900303987a536e2,,FILTERED,,HAS ZONING DOCUMENTS,2024-05-16,Supporting Documents,Local Law 92/94 of 2019 Sustainable Roof Zone,Accepted
X01052403-I1,Permit Entire,08/16/2024 12:00:00 AM,858,EAST 223 STREET,Bronx,4847,65,2063767,NEW 3 FAMILY DWELLING,Standard Plan Examination,fbaad6f5-9513-ef11-a958-005056b0044a,22,Property Ownership Certification,Property Ownership Certification,http://bscan-broker.csc.nycnet:18080/dctm-rest/repositories/bscan_prod_rep/documents/0900303986a32ba5,,FILTERED,,HAS ZONING DOCUMENTS,2024-05-16,Supporting Documents,Property Ownership Certification,Accepted
X01052403-I1,Permit Entire,08/16/2024 12:00:00 AM,858,EAST 223 STREET,Bronx,4847,65,2063767,NEW 3 FAMILY DWELLING,Standard Plan Examination,fbaad6f5-9513-ef11-a958-005056b0044a,22,SOIL REPORT,SOIL REPORT,http://bscan-broker.csc.nycnet:18080/dctm-rest/repositories/bscan_prod_rep/documents/0900303986a32bab,,FILTERED,,HAS ZONING DOCUMENTS,2024-08-15,Supporting Documents,SOIL REPORT,Accepted
